"Name","Article_Number","Origin","Alcohol","Price","Volume","Manufacturer","Type","Region","Vintage","Is_New"
"Codorníu Ecológica Brut EKO","792701","Spanien","11,5 %","95,00 kr","750 ml","Codorníu","Mousserande","Katalonien","Non Vintage","No"
"McPherson Rosé","7501101","Australien","13,5 %","95,00 kr","750 ml","McPherson WINE Co","Rosé","South Eastern Australia","2017","No"
"McPherson Shiraz","1647601","Australien","14 %","95,00 kr","750 ml","McPherson WINE Co","Rött","South Eastern Australia","2017","No"
"Vinea Crianza","7210501","Spanien","14 %","115,00 kr","750 ml","","Rött","Kastilien-León","2014","No"
"Don David Chardonnay","7590701","Argentina","14 %","109,00 kr","750 ml","Bodega El Esteco","Vitt","Salta","2016","No"
"Douglas Green Fairtrade Sauvignon Blanc","7095401","Sydafrika","12,5 %","79,00 kr","750 ml","Douglas Green","Vitt","Western Cape","2018","No"
"Rib Shack Red","203801","Sydafrika","13,5 %","85,00 kr","750 ml","Douglas Green","Rött","Western Cape","2017","No"
"Bonchelli Prosecco EKO","7958201","Italien","11 %","99,00 kr","750 ml","Bonchelli","Mousserande","Veneto","Non Vintage","No"
"Tahbilk Eric Stevens Purbrick Cabernet Sauvignon","7446401","Australien","14 %","439,00 kr","750 ml","Tahbilk","Rött","Central Victoria","2004","No"
"Tahbilk Marsanne","640601","Australien","12 %","109,00 kr","750 ml","Tahbilk","Vitt","Central Victoria","2016","No"
"Tahbilk Shiraz","8636901","Australien","14,5 %","165,00 kr","750 ml","Tahbilk","Rött","Central Victoria","2015","No"
"Cono Sur 20 Barrels Sauvignon Blanc","7182601","Chile","13 %","","750 ml","Cono Sur","Vitt","Aconcagua","2017","No"
"Cono Sur Brut Sparkling","7769601","Chile","12 %","99,00 kr","750 ml","Cono Sur","Mousserande","South Region","Non Vintage","No"
